№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
137	77:08:0008005:44	ул Маршала Катукова    (г Москва, ул Маршала Катукова, вл 4, корпус 2)	9183.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА №1196
138	77:08:0002004:18	ул Барышиха    (г Москва, ул Барышиха, вл 50, стр 1)	413.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 136.
139	77:01:0006039:5	пр-кт Волгоградский    (г Москва, пр-кт Волгоградский, вл 11, корпус 2)	5981.00000000000	эксплуатации здания под учебно-воспитательную деятельность без права коммерческого использования
140	77:01:0001090:20	пер Пушкарев    (г Москва, пер Пушкарев, вл 4, стр 1)	2113.00000000000	эксплуатации зданий и сооружений под учебно-воспитательные цели и благоустройства территории
141	77:08:0010009:5	ул ДЕМЬЯНА БЕДНОГО    (г Москва, ул Демьяна Бедного, вл 21)	9495.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1201
142	77:03:0006023:53	ул Молостовых    (г Москва, ул Молостовых, вл 3, корпус 2)	19410.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ (БЕЗ ПРАВА ПЕРЕПРОФИЛИРОВАНИЯ) И ПРИЛЕГАЮЩЕЙ ТЕРРИИТОРИИ
143	77:05:0008003:128	ш Варшавское    (г Москва, ш Варшавское, вл 148, корпус 1)	4798.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ПОЛИКЛИНИКИ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
144	77:08:0005009:25	ш Волоколамское    (г Москва, ш Волоколамское, вл 112, корпус 3)	11639.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧИЛИЩА
145	77:04:0002014:125	ул Зеленодольская    (г Москва, ул Зеленодольская, вл 7, корпус 4)	13467.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
146	77:05:0010003:160	ул Ряжская    (г Москва, ул Ряжская, вл 13, стр 1, 2)	4811.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
147	77:08:0001001:457	ул НОВОГОРСКАЯ    (г Москва, ул Новогорская, вл 67)	4436.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 22
148	77:04:0004021:33	кв-л 4-КВАРТАЛ КАПОТНЯ    (г Москва, 4-й квартал Капотня, дом 7)	3400.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ КАНАЛИЗАЦИОННОЙ НАСОСНОЙ СТАНЦИИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
149	77:06:0003002:1002	ул Вавилова    (г. Москва, ул. Вавилова, вл. 57, вл. 57, стр1, 2)	12983.00000000000	земельные участки, предназначенные для размещения объектов культуры, искусства (1.2.7)
150	77:06:0009007:13	б-р Литовский    (г Москва, б-р Литовский, вл 42, корпус 2)	19263.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
151	77:01:0003021:33	ул Ольховская    (г Москва, ул Ольховская, вл 47, стр 1)	183.00000000000	эксплуатации мастерской по ремонту и обслуживанию городского транспорта
152	77:01:0004004:1002	пер Чернышевского    (г. Москва, пер. Чернышевского, вл. 4, стр. 2)	374.00000000000	земельные участки, предназначенные для размещения объектов культуры и искусства (1.2.7)
153	77:06:0005013:32	ул Херсонская    (г Москва, ул Херсонская, вл 10, корпус 1)	10318.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
154	77:06:0009008:3	пр-кт Новоясеневский    (г Москва, пр-кт Новоясеневский, вл 19, корпус 5)	9108.00000000000	ЭКСПЛУАТАЦИИ имущественного комплекса школы без права изменения функционального назначения
155	77:07:0012011:9	ул СТАРОВОЛЫНСКАЯ    (г Москва, ул Староволынская, вл 9-А)	719.00000000000	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ КАНАЛИЗАЦИОННОЙ НАСОСНОЙ СТАНЦИИ
156	77:07:0013003:29	пр-кт Мичуринский    (г Москва, пр-кт Мичуринский, вл 8, корпус 2, стр 1)	600.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ
157	77:07:0014001:89	пер 3-й Очаковский    (г Москва, пер 3-й Очаковский, вл 1)	2127.00000000000	ПОД ЭКСПЛУАТАЦИЮ ФИЛИАЛОМ УВО ПРИ ГУВД Г. МОСКВЫ - 1-Й МЕЖРАЙОННЫМ ОТДЕЛОМ ВНЕВЕДОМСТВЕННОЙ ОХРАНЫ ПРИ УВД ЗАО Г. МОСКВЫ АДМИНИСТРАТИВНОГО ЗДАНИЯ С ГАРАЖОМ
158	77:01:0002010:140	ул Ордынка Б.    (г Москва, улица Большая Ордынка, вл 43, стр 3)	244.00000000000	эксплуатации здания под театральную деятельность
159	77:05:0004004:37	ш Каширское    (г Москва, ш Каширское, вл 15)	800.00000000000	ЭКСПЛУАТАЦИИ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ
160	77:01:0004008:145	ул Новослободская    (г Москва, ул Новослободская, вл 57)	2610.00000000000	эксплуатации здания под учебно-воспитательную деятельность и благоустройство территории
161	77:06:0006005:39	ул Академика Арцимовича    (г Москва, ул Академика Арцимовича, д 2-А)	9697.00000000000	ЭКСПЛУАТАЦИИ имущественного комплекса детского сада  без права изменения функционального назначения
162	77:01:0004020:21	ул Большая Грузинская    (г Москва, ул Большая Грузинская, вл 39, стр 4)	200.00000000000	эксплуатации центрального теплового пункта
163	77:08:0003006:15	ул Героев Панфиловцев    (г Москва, ул Героев-Панфиловцев, вл 29, корпус 2, стр 1)	233.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 71
164	77:05:0005007:44	ул Бехтерева    (г Москва, ул Бехтерева, вл 21, корпус 1)	8642.00000000000	эксплуатации здания и строения детского сада-школы с прилегающим земельным участком
165	77:03:0005011:73	ул 11-Я ПАРКОВАЯ	6495.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
166	77:05:0001008:6	ул Шаболовка    (г Москва, ул Шаболовка, вл 44)	5159.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
167	77:03:0001010:2	ул Игральная    (г Москва, Игральная улица, вл 8)	10200.00000000000	земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
168	77:08:0002011:3	ул Рославка 2-я    (г. Москва, 2-я улица Рославка)	2277.00000000000	эксплуатации земельных участков водозаборных узлов
169	77:07:0015005:1244	ш Боровское    (г. Москва, Боровское ш., вл. 20, к. 2)	4936.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
170	77:04:0005008:9	ул Привольная    (г Москва, ул Привольная, вл 47, корпус 1)	4763.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
171	77:02:0010014:2	ул Менжинского    (г Москва, ул Менжинского, вл 6)	60817.00000000000	использования территории и эксплуатации зданий и сооружений парка
172	77:05:0006002:11	мкр Чертаново Северное    (г. Москва, мкр. Чертаново Северное, корп. 809)	16003.31000000000	объекты размещения учреждений начального и среднего образования (1.2.17)
173	77:10:0002002:176	мкр 4-Й    (г Москва, г Зеленоград, 4-й микрорайон, корпус 430А)	2800.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ С ЦЕЛЬЮ ОРГАНИЗАЦИИ ОБРАЗОВАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
174	77:07:0001002:263	ул Крылатские Холмы    (г Москва, улица Крылатские Холмы, вл 51)	4600.00000000000	ПРОЕКТИРОВАНИЯ И СТРОИТЕЛЬСТВА ПАРКА ИСКУССТВ
175	77:06:0007005:131	ул Теплый Стан    (г Москва, ул Теплый Стан, вл 9А)	10508.00000000000	эксплуатации имущественного комплекса начальной школы-детского сада без права изменения функционального назначения
176	77:07:0006004:118	ул Пырьева    (г Москва, ул Пырьева, вл 11)	7893.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
177	77:04:0004019:62	ул Донецкая    (г Москва, ул Донецкая, вл 9, стр 1/2)	3599.00000000000	ЭКСПЛУАТАЦИИ ПОЛИКЛИНИКИ
178	77:03:0007003:75	ул Молдагуловой    (г Москва, ул Молдагуловой, вл 10-Б)	9980.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
179	77:04:0002007:46	пр-кт Рязанский    (г Москва, пр-кт Рязанский, вл 43, стр 1,2)	9044.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧРЕЖДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
180	77:06:0003014:26	ул Новаторов    (г Москва, ул Новаторов, вл 3, стр 1,2,3)	18550.00000000000	эксплуатации имущественного комплекса родильного дома без права изменения функционального назначения
181	77:08:0004008:34	ул Нелидовская    (г Москва, ул Нелидовская, вл 10, стр 1)	2921.00000000000	ЭКСПЛУАТАЦИИ КИНОТЕАТРА
182	77:09:0005005:218	ул Зорге    (г Москва, ул Зорге, вл 19)	9688.00000000000	эксплуатации зданий и сооружений, хранения противогололедных материалов и стоянки уборочной техники
183	77:02:0015007:47	ул Амундсена    (г Москва, ул Амундсена, вл 11, корпус 3)	11723.00000000000	эксплуатации здания школы
184	77:01:0003017:115	пер Плетешковский    (г Москва, пер Плетешковский, вл 3, стр 2)	860.00000000000	эксплуатации части здания под административные цели
185	77:01:0001034:62	пер Большой Спасоглинищевский    (г Москва, пер Большой Спасоглинищевский, вл 3, стр 8)	850.00000000000	ЭКСПЛУАТАЦИИ здания под административные цели
