№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
141	Магазин	Россия, Москва, Липецкая улица, 13к2	Общество с ограниченной ответственностью "Агроаспект"	43648 ПРИУ	2005-05-13 04:00:00.0	2013-05-13 04:00:00.0	Действует
142	Магазин	Россия, Москва, Востряковский проезд, 7к2	Общество с ограниченной ответственностью "Гинда"	5273 ДПРУ	2007-08-24 04:00:00.0	2015-08-24 04:00:00.0	Действует
143	Магазин	Россия, Москва, Загорьевская улица, 1к1	Общество с ограниченной ответственностью "Авоська-два"	461 ДТУ	2011-06-18 04:00:00.0	2016-06-18 04:00:00.0	Действует
144	Универсам	Россия, Москва, Бирюлевская улица, 51к1	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12074 ДПРУ	2010-04-23 04:00:00.0	2015-04-23 04:00:00.0	Действует
145	Кафе	Россия, Москва, Бирюлевская улица, 51к1	Общество с ограниченной ответственностью "СистемаДИ"	10344 ДПРУ	2009-08-31 04:00:00.0	2014-08-31 04:00:00.0	Действует
146	Кафе	Россия, Москва, Бирюлевская улица, 51к1	Общество с ограниченной ответственностью "ТРИО"	67 ДТУ	2011-03-18 04:00:00.0	2016-03-18 04:00:00.0	Действует
147	Магазин	Россия, Москва, Бирюлевская улица, 51к1	Общество с ограниченной ответственностью "Дионис"	13360 ДПРУ	2010-12-22 04:00:00.0	2012-12-22 04:00:00.0	Действует
148	Магазин	Россия, Москва, Липецкая улица, 7	Общество с ограниченной ответственностью "АНТЭКС"	289 ДТУ	2011-05-06 04:00:00.0	2013-07-16 04:00:00.0	Действует
149	Универсам	Россия, Москва, Михневская улица, 9а	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	3278 ДПРУ	2006-12-08 04:00:00.0	2016-12-08 04:00:00.0	Действует
150	Магазин	Россия, Москва, Загорьевская улица, 25	Общество с ограниченной ответственностью "Батт Трейдинг"	12645 ДПРУ	2010-07-30 04:00:00.0	2015-07-30 04:00:00.0	Действует
151	Кафе	Россия, Москва, Медынская улица, 7а	Общество с ограниченной ответственностью "Белла Наполи"	9558 ДПРУ	2009-05-28 04:00:00.0	2014-05-28 04:00:00.0	Действует
152	Магазин	Россия, Москва, Варшавское шоссе, 143	Общество с ограниченной ответственностью "АННИНО"	4249 ДПРУ	2007-04-16 04:00:00.0	2013-04-16 04:00:00.0	Действует
153	Магазин	Россия, Москва, улица Академика Янгеля, 14к1	Общество с ограниченной ответственностью "ЭКОНОМТРЕЙД"	931 ДТУ	2011-10-11 04:00:00.0	2014-10-11 04:00:00.0	Действует
154	Склад-магазин	Россия, Москва, Ступинский проезд, 1ас2	Общество с ограниченной ответственностью "Мозель-М"	5317 ДПРУ	2007-08-24 04:00:00.0	2013-08-24 04:00:00.0	Действует
155	Магазин	Россия, Москва, Бирюлевская улица, 31к1	Общество с ограниченной ответственностью Фирма "БАЗИС"	1021 ПРЮВЮ	2005-07-01 04:00:00.0	2013-07-01 04:00:00.0	Действует
156	Магазин	Россия, Москва, Московская кольцевая автодорога, 38-й километр	Федеральное государственное унитарное предприятие "ЯСЕНЬ" Службы внешней разведки Российской Федерации"	7863 ДПРУ	2008-08-20 04:00:00.0	2013-08-20 04:00:00.0	Действует
157	Гипермаркет	Россия, Москва, улица Подольских Курсантов, 26	Общество с ограниченной ответственностью "Зельгрос"	1197 ДТУ	2011-12-15 04:00:00.0	2016-12-15 04:00:00.0	Действует
158	Магазин	Россия, Москва, Медынская улица, 2к2с2	Закрытое акционерное общество "Элина - Центр"	6626 ДПРУ	2008-01-31 04:00:00.0	2013-01-31 04:00:00.0	Аннулирована
159	Магазин	Россия, Москва, Булатниковский проезд, вл6с2	Общество с ограниченной ответственностью "Фирма "СИЯНИЕ"	5163 ДПРУ	2007-08-03 04:00:00.0	2015-08-03 04:00:00.0	Действует
160	Магазин	Россия, Москва, Медынская улица, 2к2с2	Общество с ограниченной ответственностью "Юлия"	140 ДТУ	2011-04-12 04:00:00.0	2013-04-12 04:00:00.0	Действует
161	Кафе	Россия, Москва, Булатниковский проезд, вл6с2	Общество с ограниченной ответственностью "Айсель"	11327 ДПРУ	2010-01-28 04:00:00.0	2015-01-28 04:00:00.0	Действует
162	Магазин	Россия, Москва, улица Газопровод, 1к3	Общество с ограниченной ответственностью "КОДЕС-ТОРГ"	7536 ДПРУ	2008-06-27 04:00:00.0	2013-06-27 04:00:00.0	Действует
163	Магазин	Россия, Москва, Россошанская улица, 6	Закрытое акционерное общество "Аматус"	1978 ДТУ	2012-07-05 04:00:00.0	2017-07-05 04:00:00.0	Действует
164	Магазин	Россия, Москва, Касимовская улица, вл22	Общество с ограниченной ответственностью "ТК ОДИССЕЙ"	9586 ДПРУ	2009-05-22 04:00:00.0	2014-05-22 04:00:00.0	Действует
165	Магазин	Россия, Москва, Касимовская улица, вл22	Закрытое акционерное общество "ТАНДЕР"	1168 ДТУ	2011-12-20 04:00:00.0	2016-12-20 04:00:00.0	Действует
166	Магазин	Россия, Москва, Касимовская улица, 31к2	Общество с ограниченной ответственностью "ИНТЭКОМ - 2000"	4338 ДПРУ	2007-03-30 04:00:00.0	2013-03-30 04:00:00.0	Действует
167	Магазин	Россия, Москва, Касимовская улица, 29	Общество с ограниченной ответственностью "ТК ОДИССЕЙ"	2024 ДПРУ	2006-08-25 04:00:00.0	2014-08-25 04:00:00.0	Действует
168	Магазин	Россия, Москва, Бирюлевская улица, 21к1	Открытое акционерное общество "Седьмой Континент"	7570 ДПРУ	2008-07-05 04:00:00.0	2013-07-05 04:00:00.0	Действует
