№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1370	Лифты	Дениса Давыдова ул., д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1371	Лифты	Сеславинская ул., д.32, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1372	Лифты	Старый Петровско-Разумовский пр., д.6/8, к.3	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
1373	Лифты	Нагатинская ул., д.70	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1374	Лифты	Симферопольский б-р, д.19, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1375	Лифты	Академика Янгеля ул., д.6а	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1376	Лифты	Полбина ул., д.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1377	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.5, стр.3	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
1378	Ремонт фасадов ЦАО и исторической часть города	Новинский б-р, д.25, с.10	2012-06-29 04:00:00.0	2012-12-31 04:00:00.0
1379	Лифты	Бронная Малая ул., д.21/13	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1380	Ремонт фасадов ЦАО и исторической часть города	Сергиевский Большой пер., д.19/22, с.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1381	Лифты	Зубовский б-р, д.31/33	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1382	Лифты	Тимура Фрунзе ул., д.34	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1383	Лифты	Языковский пер., д.4а	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1384	Лифты	Дербеневская ул., д.1/2	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
1385	Лифты	Днепропетровская ул., д.39 к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
1386	Лифты	Каширское ш., д.92, к.3, стр.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
1387	Лифты	Вавилова ул. д.31	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1388	Лифты	Челябинская ул., д.7 к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
1389	Ремонт фасадов ЦАО и исторической часть города	Денежный пер., д.8-10	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
1390	Лифты	Вспольный пер., д.16 с.2	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1391	Лифты	Мичуринский просп., д.48 к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1392	Лифты	Загородное ш., д.8 к.в	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
1393	Лифты	Инессы Арманд ул. д.4/1	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1394	Ремонт фасадов ЦАО и исторической часть города	Газетный пер., д.13-15	2012-06-21 04:00:00.0	2012-12-31 04:00:00.0
1395	Ремонт фасадов ЦАО и исторической часть города	Садовая-Кудринская ул., д.28/30 с.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1396	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Большой пер., д.16-18	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1397	Подъемные платформы и работы по ММГН	Новокуркинское ш., д.35 к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1398	Подъемные платформы и работы по ММГН	Велозаводская ул., д.6 к.а	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1399	Капитальный ремонт	Хованская ул., д.3, к.2А	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
1400	Капитальный ремонт	Зубовский б-р, д.2 стр.1	2012-09-26 04:00:00.0	2012-12-31 04:00:00.0
1401	Лифты	Вильнюсская ул. д.4	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1402	Лифты	Паустовского ул. д.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
