name	url	id	source	theme
Средняя образовательная школа	http://data.mos.ru/datasets/565	565	Департамент образования города Москвы	Образование
Средняя образовательная школа &quot;Школа Здоровья&quot;	http://data.mos.ru/datasets/566	566	Департамент образования города Москвы	Образование
Средняя образовательная школа с углубленным изучением отдельных предметов	http://data.mos.ru/datasets/567	567	Департамент образования города Москвы	Образование
Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	http://data.mos.ru/datasets/568	568	Департамент образования города Москвы	Образование
Станции метрополитена	http://data.mos.ru/datasets/624	624	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Станции переливания крови	http://data.mos.ru/datasets/515	515	Департамент здравоохранения города Москвы	Здравоохранение
Станции проката велосипедов	http://data.mos.ru/datasets/918	918	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Физическая культура и спорт
Станции скорой и неотложной медицинской помощи	http://data.mos.ru/datasets/516	516	Департамент здравоохранения города Москвы	Здравоохранение
Стационарные общественные туалеты	http://data.mos.ru/datasets/842	842	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	Социальная среда
Стационары	http://data.mos.ru/datasets/517	517	Департамент здравоохранения города Москвы	Здравоохранение
Стоматологические поликлиники	http://data.mos.ru/datasets/518	518	Департамент здравоохранения города Москвы	Здравоохранение
Стрелковые тиры	http://data.mos.ru/datasets/888	888	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Стрельбища	http://data.mos.ru/datasets/889	889	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Судебные участки мировых судей города Москвы	http://data.mos.ru/datasets/590	590	Управление по обеспечению деятельности мировых судей	Органы государственной власти
Таксофоны МГТС	http://data.mos.ru/datasets/841	841	Департамент информационных технологий города Москвы	Связь
Тарифы на проезд в городском пассажирском транспорте	http://data.mos.ru/datasets/658	658	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Театры	http://data.mos.ru/datasets/531	531	Департамент культуры города Москвы	Культура
Теннисные корты	http://data.mos.ru/datasets/891	891	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Территориальные центры социального обслуживания и филиалы	http://data.mos.ru/datasets/602	602	Департамент социальной защиты населения города Москвы	Социальная среда
Точки продажи билетов для проезда на наземном городском пассажирском транспорте	http://data.mos.ru/datasets/673	673	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Туристко-краеведческое направление	http://data.mos.ru/datasets/569	569	Департамент образования города Москвы	Образование
Управления социальной защиты населения	http://data.mos.ru/datasets/603	603	Департамент социальной защиты населения города Москвы	Социальная среда
Учебно-производственные комбинаты	http://data.mos.ru/datasets/570	570	Департамент образования города Москвы	Образование
Учреждения высшего профессионального образования	http://data.mos.ru/datasets/537	537	Департамент образования города Москвы	Образование
Учреждения семейной и молодежной политики	http://data.mos.ru/datasets/497	497	Департамент культуры города Москвы	Социальная среда
Физкультурно-спортивное направление	http://data.mos.ru/datasets/572	572	Департамент образования города Москвы	Образование
Хосписы	http://data.mos.ru/datasets/519	519	Департамент здравоохранения города Москвы	Здравоохранение
Художественно-эстетическое направление	http://data.mos.ru/datasets/573	573	Департамент образования города Москвы	Образование
Центр диагностики и консультирования	http://data.mos.ru/datasets/574	574	Департамент образования города Москвы	Образование
Центр лечебной педагогики и дифференцированного обучения	http://data.mos.ru/datasets/575	575	Департамент образования города Москвы	Образование
Центр образования	http://data.mos.ru/datasets/576	576	Департамент образования города Москвы	Образование
Центр психолого-педагогической реабилитации и коррекции	http://data.mos.ru/datasets/577	577	Департамент образования города Москвы	Образование
Центр социальной помощи семье и детям	http://data.mos.ru/datasets/604	604	Департамент социальной защиты населения города Москвы	Социальная среда
Центры занятости населения	http://data.mos.ru/datasets/610	610	Департамент труда и занятости населения города Москвы	Трудоустройство
Центры повышения квалификации	http://data.mos.ru/datasets/578	578	Департамент образования города Москвы	Трудоустройство
Центры психологической помощи	http://data.mos.ru/datasets/605	605	Департамент социальной защиты населения города Москвы	Социальная среда
Центры психолого-медико-социального сопровождения	http://data.mos.ru/datasets/579	579	Департамент образования города Москвы	Образование
Центры реабилитации	http://data.mos.ru/datasets/606	606	Департамент социальной защиты населения города Москвы	Социальная среда
Центры социально-трудовой адаптации и профориентации	http://data.mos.ru/datasets/596	596	Департамент образования города Москвы	Трудоустройство
Школы надомного обучения	http://data.mos.ru/datasets/581	581	Департамент образования города Москвы	Образование
Школы, имеющие в своем составе детские сады (образовательные комплексы)	http://data.mos.ru/datasets/582	582	Департамент образования города Москвы	Образование
Школы-интернаты	http://data.mos.ru/datasets/583	583	Департамент образования города Москвы	Образование
Школы-интернаты с углубленным изучением отдельных предметов	http://data.mos.ru/datasets/584	584	Департамент образования города Москвы	Образование
Эколого-биологическое направление	http://data.mos.ru/datasets/585	585	Департамент образования города Москвы	Образование
Ярмарки выходного дня	http://data.mos.ru/datasets/620	620	Департамент торговли и услуг города Москвы	Торговля
