1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
310м;"ст.м.""""Строгино"""" - ул.Ген.Белобородова";"ст.м.""""Строгино"""" - Строгинский бульвар - Кулакова улица - Мякининский проезд - 4-я Мякининская улица - МКАД - Пятницкое шоссе - Дубравная улица - Ген.Белобородова улица";7;8;15;22,4;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
311м;"Платф.Останкино - ст.м.""""Партизанская""""";"Платформа Останкино - Дубовой рощи проезд - Академика Королева улица - Продольный проезд - Бориса Галушкина улица - Ростокинский проезд - Богатырский мост улица - Краснобогатырская улица - Преображенский Вал улица - Измайловский Вал улица - Щербаковская улица - Измайловское шоссе - ст.м.""""Партизанская""""";24;3;10;27,6;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ООО """"ГЕПАРТ""""";;
312м;"ст.м.""""Кузьминки"""" - Кузьминский лесопарк (сезонный)";"ст.м.""""Кузьминки"""" - Маршала Чуйкова улица (обратно Зеленодольская улица) - Юных Ленинцев улица - Кузьминская улица - Кузьминский лесопарк";4;5;12;6,2;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
313м;платф.Вешняки - Кузьминский лесопарк (сезонный);платф.Вешняки - ул.Паперника - Рязанский просп. - ул.Акад.Скрябина - ул.Кузьминская - Кузьминский лесопарк;4;5;10;4,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
315м;5-й Загородный проезд - ул.Новочеремушкинская,д.34;"5-й Загородный пр. - ул.Бол.Черемушкинская - ул.Шверника - ул.Новочеремушкинская - ул.Дм.Ульянова - ст.м.""""Академическая"""" - ул.Профсоюзная - оттянутый разворот (в 200 м от ул.Кедрова) - ул.Кедрова - ул.Новочеремушкинская, д.34";6;8;15;3,8;М2 класс В;8.00 /  8.30;21.00 / 20.30;ИП Зеленский Виктор Викторович;;
316м;платф.Карачарово - Лубянская пл.;"платф.Карачарово - Рязанский просп. - ул.Нижегородская - ул.Таганская - ст.м.""""Марксистская"""" - Таганская пл. - ст.м.""""Таганская"""" - ул.Верх.Радищевская - ул.Солянка - ст.м.""""Китай-город"""" - Лубянская пл.";12;10;20;12;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Гудвиль""""";;
317м;"ст.м.""""Нагорная"""" – ст.м.""""Ленинский проспект""""";"ст.м.""""Нагорная"""" - Электролитный проезд - ул.Ремизова - Севастопольский проспект - ул.Винокурова - ул.Б.Черемушкинская - 4-й Загородный проезд - Канатчиковский проезд - ул.Вавилова - ст.м.""""Ленинский проспект""""";6;8;15;3,5;М2 класс В;7.30 /  8.00;21.00 / 20.00;ИП Зеленский Виктор Викторович;;
318м;Рижский вокзал - Шмитовский проезд;Рижский вокзал - Сущевский Вал улица - Бутырский Вал улица - Грузинский Вал улица - Пресненский Вал улица - Трехгорный Вал улица - Шмитовский проезд;10;5;15;20,5;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
319м;"ст.м.""""Тимирязевская"""" - Рижский вокзал";"ст.м.""""Тимирязевская"""" - Фонвизина улица - Огородный проезд - Марьиной рощи 15 проезд - Шереметьевская улица - Советской Армии улица - Трифоновская улица - Мира проспект (обратно: Гиляровского улица) - Рижский вокзал";12;3;10;13,6;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
320м;"ст.м.""""Кантемировская"""" - ул.Ереванская";"ст.м.""""Кантемировская"""" - Пролетарский проспект - Кавказский бульвар - Медиков улица - Ереванская улица";4;6;15;6,7;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
322м;ул.16-я Парковая - Рязанский пр.;"16-я Парковая улица - Первомайская улица - Измайловское шоссе - Ткацкая улица - Вельяминовская улица - Щербаковская улица - ст.м.""""Семеновская"""" - (обратно: Измайловский Вал улица) - Бол.Семеновская улица - ст.м.""""Электрозаводская"""" - Бакунинская улица - Новорязанская улица - Рязанский проезд";10;7;15;24,1;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
323м;"ст.м.""""Отрадное"""" - ст.м.""""Тимирязевская""""";"ст.м.""""Отрадное - Хачатуряна улица - Декабристов улица - Алтуфьевское шоссе - Комдива Орлова улица - Яблочкова улица - ст.м.""""Тимирязевская""""";5;8;15;15,2;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
324м;ВВЦ (южн.) - Бескудниковский бульвар;ВВЦ (южн.) - Продольный проезд - 1-я Останкинская улица - Ботаническая улица - Станционная улица - Дмитровское шоссе (обратно: 3-й Нижнелихоборский проезд - Локомотивный проезд) - Селигерская улица - Рогачевский переулок (обратно: Бескудниковский бульвар) - Бескудниковский бульвар;6;7;15;18;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
