"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000013224";"Кафе на Старая Басманная ул. 20 к. 1";"Старая Басманная ул. 20 к. 1";"37,664416999";"55,766771";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Кафе"
"000013225";"АРИА-АИФ";"Рязанский пер.";"37,654516";"55,772814";"ЦАО";"Красносельский";"Лоток";"с 1 января по 31 декабря";"21.10.2011";"21.10.2014";"100-000611";"21.10.2011";"Печать"
"000013226";"Аргументы и Факты";"Садовая-Спасская ул. 11/1";"37,645682";"55,770038";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"01.03.2012";"01.03.2015";"100-000619";"01.03.2012";"Печать"
"000013227";"Московская дирекция театрально-концертных и спортивно-зрелещных касс";"Мясницкая ул. 26А с. 1";"37,636604999";"55,76422";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000683";"05.09.2012";"Театральные билеты"
"000013228";"Кафе на Верхняя Красносельская ул. 15 с. 1";"Верхняя Красносельская ул. 15 с. 1";"37,66273";"55,783386";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"09.07.2015";;;"Кафе"
"000013229";"Хлеб на Большой Харитоньевский пер. 9";"Большой Харитоньевский пер. 9";"37,644995";"55,764781";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Хлеб"
"000013230";"Кафе на Каланчёвская ул. 12 с. 3";"Каланчёвская ул. 12 с. 3";"37,649096";"55,776578";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"17.07.2015";;;"Кафе"
"000013231";"Аджиев";"Нижний Сусальный пер. 5 С. 1";"37,662192999";"55,759741";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000685";"10.05.2012";"Хлеб"
"000013232";"МегаПроф - Н. Сусальный, вл. 5";"Нижний Сусальный пер. 5 С. 1";"37,661968";"55,759747";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000231";"07.08.2012";"Хлеб; Кондитерские изделия"
"000013233";"Кафе на Каланчёвская ул. 12 с. 3";"Каланчёвская ул. 12 с. 3";"37,650471";"55,777306";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"10.07.2015";;;"Кафе"
"000013234";"Хлеб на ул. Фридриха Энгельса 7-21";"ул. Фридриха Энгельса 7-21";"37,681763";"55,77244";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Хлеб"
"000013235";"НОЭЛЬ-ПЛЮС";"Панкратьевский пер.";"37,633325";"55,772172999";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"09.04.2012";"09.04.2015";"100-000622";"09.04.2012";"Кафе"
"000013236";"Совтек";"Нижний Сусальный пер. 5 С. 1";"37,662258";"55,759511";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000235";"07.08.2012";"Цветы"
"000013237";"Кафе на просп. Академика Сахарова";"просп. Академика Сахарова";"37,636804";"55,766387";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"15.07.2015";;;"Кафе"
