Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/3708,Захваткин,Евгений,Владимирович,№ от 24.07.1990,№4715-а от 24.09.2002,,,,, №4 от 16.04.2008, №94-а от 15.05.2008,,,,,прекр.ст.,МРКА,
77/3709,Егошина,Ольга,Федоровна,№ от 11.10.2000,№4496-а от 24.09.2002,,,,, №1 от 28.01.2009, №47-а от 12.02.2009,,,,,прекр.ст.,МРКА,
77/3710,Зыбцева,Людмила,Ивановна,№ от 08.12.1994,№4665-а от 24.09.2002,,,,,,,,,,,,"КА ""Интер-Адвокат""",
77/3711,Зыбцева,Эльвира,Валерьевна,№ от 17.06.1998,№4664-а от 24.09.2002,,,,,,,,,,,,СКА прав.пом.в/с,
77/3712,Захаров,Вадим,Александрович,№ от 19.12.2001,№4662-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3713,Зиновьев,Вадим,Юрьевич,№ от 28.11.2001,№4661-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3714,Зубарев,Максим,Юрьевич,№ от 24.10.2001,№4655-а от 24.09.2002, №134 от 14.02.2005, №44-а от 22.02.2005, №3 от 25.03.2008, №73-а от 14.04.2008,,,,,,,,"КА ""Звезды Кремля""",
77/3715,Рощупкин,Анатолий,Борисович,№ от 14.11.2001,№4724-а от 24.09.2002,,,,,,,,,,,,"""Центр-я"" КА г.М",
77/3716,Третьяков,Илья,Викторович,№ от 20.12.2001,№4350-а от 24.09.2002,,,,,,,,,,,,"КА ""РусЮрЗащита""",
77/3717,Галкина,Наталия,Викторовна,№ от 08.06.1995,№4350-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/3718,Борисов,Дмитрий,Геннадьевич,№ от 20.12.2001,№4350-а от 24.09.2002,,,,,,,,,,,,"КА ""РусЮрЗащита""",
77/3719,Волков,Алексей,Владимирович,№ от 16.11.2000,№1940-а от 16.09.2002,,,,,,,,,,,,Межрег.КА,
77/3720,Чесноков,Андрей,Александрович,№ от 20.06.2002,№4002-а от 24.09.2002,,,,, №1 от 28.01.2009, №47-а от 12.02.2009,,,,,прекр.ст.,кабинет,
77/3721,Костюченко,Инна,Юрьевна,№ от 16.12.1999,№4005-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/3722,Козинец,Ирина,Владимировна,№ от 20.06.2002,№4001-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/3723,Шипков,Андрей,Геннадьевич,№ от 21.09.2000,№3999-а от 24.09.2002, №11 от 27.10.2005, №225-а от 11.11.2005,,,,,,,,,приост.ст.,Межрег.КА,
77/3724,Тазов,Олег,Владимирович,№ от 26.07.2001,№4000-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3725,Кудрявцева,Алина,Владимировна,№ от 26.09.2001,№4307 от 24.09.2002,,,,,,,,,,,,МРКА,
77/3726,Кудряшов,Сергей, Витальевич,№ от 28.11.2001,№4307 от 24.09.2002,,,,,,,,,,,,"КА ""На Таганке""",
77/3727,Кужелев,Сергей,Васильевич,№ от 30.05.2001,№4307 от 24.09.2002,,,,,,,,,,,,СКА прав.пом.в/с,
77/3728,Кретов,Борис,Алексеевич,№ от 28.03.2001,№4307 от 24.09.2002,,,,,,,,,,,,"КА ""На М.Дмитровке""",
77/3729,Кочарли,Азер,Фирудин оглы,№ от 28.03.2001,№4377-а от 24.09.2002,,,,,,,,,,,,"КА ""Юркон""",
77/3730,Кривов,Александр,Ардалионович,№ от 30.05.2001,№4307 от 24.09.2002,,,,, № от 25.06.2008, №11-а от 08.07.2008,,,,,прекр.ст.,"КА ""Юков Хренов и партнеры""",
77/3731,Абдулвахабов,Муса,Борзалиевич,№ от 18.04.2002,№5273-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3732,Солонский,Станислав,Евгеньевич,№ от 19.10.2000,№3826-а от 24.09.2002,,,,,,,,,,,,"КА ""Адвокат""",
77/3733,Акимова,Ольга,Николаевна,№ от 19.12.2001,№5251-а от 26.09.2002,,,,,,,,,Луговая,,приост.ст.,МРКА,
77/3734,Смирнов,Александр,Константинович,№ от 25.06.1999,№4627-а от 27.09.2002,,,,, №96 от 14.06.2006, №154-а от 21.07.2006,,,,,прекр.ст.,"МКА ""Лига защиты""",
77/3735,Фролов,Сергей,Адольфович,№ от 19.09.2001,№4630-а от 24.09.2002,,,,, №4 от 25.03.2004, №86-а от 07.04.2004,,,,,прекращен ст.,,
77/3736,Чупрова,Наталья,Александровна,№ от 20.06.2002,№4149-а от 24.09.2002,,,,,,,,,,,,"Межд.КА ""Евраз.Союз""",
77/3737,Инькова,Валентина,Георгиевна,№ от 19.09.2001,№4392-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/3738,Лещёв,Сергей,Анатольевич,№ от 22.12.1999,№4390-а от 24.09.2002,,,,,,,,,,,,"КА ""Минаева и партнеры""",
77/3739,Артюхова,Ольга,Георгиевна,№ от 21.02.2002,№4380-а от 24.09.2002,,,,, №10 от 05.10.2005, №206-а от 10.10.2005,,,,,прекр.ст.,МЮЦ,"КА ""Львова и партнеры"""
77/3740,Заика,Роман,Леонидович,№ от 26.06.2002,№4674-а от 24.09.2002,,,,, №10 от 10.10.2006, №211-а от 18.10.2006,,,,,прекр.ст.,кабинет,
77/3741,Мокроусова,Елена,Викторовна,№ от 19.02.1997,№4346-а от 24.09.2002,,,,,,,,,,,,"АБ ""Стратегия права""",
77/3742,Розум,Елена,Анатольевна,№ от 29.05.2002,№4346-а от 24.09.2002,,,,, №7 от 19.07.2010, №190-а от 27.07.2010,,,,,прекращен ст.,МРКА,
77/3743,Любенко,Валерий,Николаевич,№ от 27.02.2002,№4778-а от 24.09.2002,,,,, №11 от 20.11.2006, №231-а от 29.11.2006,,,,,прекр.ст.,"КА ""Юркип""",
77/3744,Муравьева,Елена,Анатольевна,№ от 27.02.2002,№4778-а от 24.09.2002,,,,, №11 от 20.11.2006, №231-а от 29.11.2006,,,,,прекр.ст.,"КА ""Юркип""",
77/3745,Канев,Герман,Иванович,№ от 20.03.2000,№4452-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3746,Калинин,Геннадий,Викторович,№ от 23.07.1992,№4452-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3747,Золотовский,Сергей,Александрович,№ от 20.06.2002,№5104-а от 26.09.2002,,,,, №2 от 03.02.2004, №36-а от 04.03.2004,,,,,прекращен ст.,,
77/3748,Ефремкин,Олег,Петрович,№ от 27.12.1990,№3811-а от 24.09.2002,,,,,,,,,,,,СКА прав.пом.в/с,
77/3749,Тепликов,Владислав,Борисович,№ от 26.08.1993,№4319-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3750,Тимошенко,Андрей,Николаевич,№ от 20.03.1996,№4319-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3751,Тукина,Алевтина,Васильевна,№ от 15.06.1995,№4329-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3752,Терещенко,Таисия,Семеновна,№ от 26.10.1992,№4329-а от 24.09.2002,,,,, №1 от 01.02.2010, №22-а от 11.02.2010,,,,,прекращен ст.,кабинет,
77/3753,Туманов,Сергей,Викторович,№ от 23.06.1999,№4329-а от 24.09.2002,,,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,искл.из реестра,,
77/3754,Ухабова,Александра,Сергеевна,№ от 23.03.1995,№4329-а от 24.09.2002,,,,, №526 от 06.04.2003, №82-а от 19.04.2005,,,,,прекр.ст.,МРКА,
77/3755,Уваров,Петр,Николаевич,№ от 29.01.1996,№4329-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3756,Терновецкий,Василий,Иванович,№ от 25.06.1995,№4334-а от 24.09.2005,,,,,,,,,,,,"МКА ""Защита""",
77/3757,Юров,Андрей,Викторович,№ от 25.06.1999,№4334-а от 24.09.2005,,,,,,,,,,,,"МКА ""Защита""",
77/3758,Тихонов,Михаил,Александрович,№ от 21.02.2001,№4334-а от 24.09.2005,,,,,,,,,,,,"МКА ""Эгида""",
77/3759,Тимохина,Елена,Викторовна,№ от 26.06.2002,№4334-а от 24.09.2005, №277 от 02.02.2010, №28-а от 12.02.2010,,,,,,,,,приост.ст.,"МКА ""Защита""",
77/3760,Тимофеева,Ольга,Николаевна,№ от 13.02.2002,№4334-а от 24.09.2005,,,,,,,,,,,,"МКА ""Ваш адвокат""",
77/3761,Кравцова,Анна,Владимировна,№ от 27.07.2002,№4217-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3762,Кравченко,Андрей,Александрович,№ от 14.11.2001,№4217-а от 24.09.2002,,,,,,,,,,,,МКА №13,
77/3763,Максимов,Борис,Дмитриевич,№ от 03.06.2002,№4216-а от 24.09.2002,,,,, №11 от 18.11.2008, №112-а от 12.12.2008,,,,,прекр.ст.,"АБ ""Интеллект""",
77/3764,Косарева,Ирина,Анатольевна,№ от 03.06.2002,№4216-а от 24.09.2002, №12 от 07.10.2004, №287-а от 20.10.2004,,,,,,,,,приост.ст.,"АБ ""Лекс-Инвест""",
77/3765,Копылова,Наталья,Анатольевна,№ от 30.10.2000,№4216-а от 24.09.2002,,,,, №6 от 27.05.2004, №137-а от 18.06.2004,,,,,прекращен ст.,,
77/3766,Слетов,Андрей, Александрович,№ от 26.04.1994,№4269-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3767,Серова,Татьяна,Леонидовна,№ от 27.02.1973,№4271-а от 24.09.2002,,,,, №13 от 21.12.2010, №356-а от 29.12.2010,,,,,,МГКА,
77/3768,Серновец,Мария,Николаевна,№ от 16.06.1998,№4271-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3769,Савина,Марина,Ивановна,№ от 24.07.2001,№4227-а от 24.09.2002,,,,,,,,,Броневицкая, №228-а от 03.08.2004,,"АБ ""Номос""",
77/3770,Савкина,Ксения,Сергеевна,№ от 10.08.1999,№4227-а от 24.09.2002,,,,, №168 от 20.11.2006, №251-а от 26.12.2006,,,,,прекр.ст.,"АБ ""Нахимова и партнеры""",
77/3771,Путря,Татьяна,Анатольевна,№ от 19.11.1985,№4220-а от 24.09.2002,№ 1 от 22.01.2013,№ 487 от 30.01.2013,,,,,,,,,,МГКА,
77/3772,Мерцальская-Мезенцева,Вера,Алексеевна,№ от 26.02.1980,№4204-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3773,Пойдо,Сергей,Игоревич,№ от 01.10.1996,№4258-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3774,Назарян,Мовсес,Гарникович,№ от 23.07.1996,№4570-а от 24.09.2002,,,,,,,,,,,,"МКА ""Мосинюрколлегия""",
77/3775,Артемовская,Елена,Анатольевна,№ от 26.06.2002,№4624-а от 24.09.2002, №4 от 25.03.2004, №81а от 07.04.2004,,, №3 от 15.03.2007, №58-а от 28.03.2007,,,,,прекр.ст.,"КА ""1-я МКА""",
77/3776,Расулова,Марина,Леонидовна,№ от 17.09.1997,№4286-а от 24.09.2002,,,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,искл.из реестра,,
77/3777,Сарумов,Арташес,Александрович,№ от 01.07.1975,№5127-а от 26.09.2002,,,,, №12 от 07.10.2004, №262-А от 20.10.2004,,,,,прекращен ст.,МГКА,кабинет
77/3778,Аджиашвили,Яков,Давидович,№ от 21.04.1998,№2954-а от 20.09.2002,,,,,№9 от 04.09.2012,№4797 от 18.09.2012,,,,,,МГКА,
77/3779,Титов,Владимир,Петрович,№ от 06.06.1995,№737-а от 06.09.2002,,,,, №13 от 25.06.2003, №237-а от 22.07.2003,,,,,прекращен ст.,,
77/3780,Каминский,Сергей,Александрович,№ от 11.09.1990,№4997-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3781,Кагановский,Александр,Ефимович,№ от 11.12.2001,№4996-а от 26.09.2002,,,,,,,,,,,,"КА ""Консул""",
77/3782,Пармут,Евгений,Геннадьевич,№ от 19.04.2001,№5122-а от 26.09.2002,,,,,,,,,,,,Межрег.КА,
77/3783,Дюбина,Ирина,Валериевна,№ от 21.02.2002,№5277-а от 26.09.2002,,,,,,,,,,,,"КА ""Адвокат""",
77/3784,Данильянц,Эрик,Рудольфович,№ от 27.05.1998,№5276-а от 26.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/3785,Дубровин,Виктор,Викторович,№ от 24.01.2002,№5276-а от 26.09.2002,,,,, №9 от 15.09.2005, №198-а от 04.10.2005,,,,,прекр.ст.,"1-я СКА г.М ""Гранкин и парт.""",
77/3786,Абрамов,Сергей,Сергеевич,№ от 15.03.2001,№5276-а от 26.09.2002,,,,, №107 от 27.10.2005, №228-а от 11.11.2005,,,,,прекр.ст.,Межтеррит.КА,
77/3787,Акимов,Игорь,Юрьевич,№ от 25.10.2001,№5252-а от 26.09.2002,,,,,,,,,,,,"КА ""Гильдия моск.адвокатов""",
77/3788,Соболев,Михаил,Михайлович,№ от 28.11.2001,№990-а от 09.09.2002,,,,, №9 от 15.09.2005, №198-а от 04.10.2005,,,,,прекр.ст.,кабинет,
77/3789,Лощатова,Елена,Михайловна,№ от 25.04.2001,№4490-а от 24.09.2002,,,,, №1 от 27.01.2011, №22-а от 07.02.2011,,,,,,"КА ""На Таганке""",
77/3790,Денисов,Владислав,Валерьевич,№ от 27.03.2002,№4522-а от 24.09.2002,,,,, №21 от 17.11.2003, №348-а от 01.12.2003,,,,,прекращен ст.,,
77/3791,Ползикова,Валентина,Ивановна,№ от 27.02.1979,№4258-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3792,Панченко,Александр,Яковлевич,№ от 21.06.1994,№4258-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3793,Петрухина,Надежда,Петровна,№ от 11.02.1992,№4258-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3794,Пилипенко,Алексей,Николаевич,№ от 30.06.2002,№4258-а от 24.09.2002,,,,, №3 от 23.03.2006, №72-а от 06.04.2006,,,,,прекр.ст.,кабинет,кабинет
77/3795,Павлович,Эдуард,Леонидович,№ от 31.07.1979,№4278-а от 24.09.2002, №13 от 21.12.2010, №357-а от 29.12.2010,,,,,,,,,,МГКА,
77/3796,Павлов,Владимир,Николаевич,№ от 11.02.1992,№4278-а от 24.09.2002,№3 от 27.03.2012,№1420 от 06.04.2012,,,,,,,,,,МГКА,
77/3797,Лычагина,Мария,Павловна,№ от 24.07.2001,№4257-а от 24.09.2002,,,,,,,,,,,,"АБ ""Номос""",
77/3798,Лубшева,Ольга,Юрьевна,№ от 26.02.1982,№4257-а от 24.09.2002,№ 6 от 18.06.2012,№ 3211 от 29.06.2012,,,,,,,,,,МГКА,
77/3799,Закон,Алла,Нахимовна,№ от 29.05.1987,№4279-а от 24.09.2002,№9 от 12.09.2006  №9 от 25.09.2007 ,№193-а  от 26.09.2006 внесены изм. Распор. №210-а  от 18.10.2006 №179 от 15.10.2007 ,,,,,,,Яблочкина, №170-а от 23.08.2006,приост.ст.,МГКА,
77/3800,Зайцева,Дина,Анатольевна,№ от 29.05.1987,№4279-а от 24.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/3801,Зайцев,Юрий,Бориславович,№ от 28.05.1991,№4279-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3802,Зайцев,Сергей,Анатольевич,№ от 08.04.1986,№4279-а от 24.09.2002,,,,,,,,,,,,"АБ ""Объед.адв.группа""",
77/3803,Меклер,Владимир,Александрович,№ от 27.02.1981,№4316-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3804,Костромина,Ксения,Львовна,№ от 05.06.2001,№4308-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3805,Кострикина,Лариса,Викторовна,№ от 26.05.1992,№4308-а от 24.09.2002,,,,,,,,,Муханова,№144-а от 13.07.2006 ,,"АБ ""Доминус групп""",
77/3806,Костецкая,Елена,Даниловна,№ от 13.02.1962,№4308-а от 24.09.2002,,,,, №5 от 21.05.2008, №107-а от 02.06.2008,,,,,прекр.ст.,МГКА,кабинет
77/3807,Костерин,Валерий,Олегович,№ от 13.03.2001,№4308-а от 24.09.2002,,,,,,,,,,,,"АБ ""Инф-я и право""",
77/3808,Косолапов,Олег,Николаевич,№ от 25.12.2001,№4308-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3809,Долгих,Иван,Владимирович,№ от 25.06.1996,№4320-а от 24.09.2002, №7 от 12.07.2006, №155-а от 21.07.2006,,,,,,,,,приост.ст.,МГКА,
77/3810,Додонова,Ирина,Владимировна,№ от 06.07.1999,№4320-а от 24.09.2002, №8 от 12.08.2008, №23-а от 04.09.2008,,,,,,,,,приост.ст.,МГКА,
