№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
143	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФАБРИКА 1 МАЯ	Разовый	377.0
144	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕВЕРЯНИН	Разовый	1060.0
145	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕРГИЕВ ПОСАД	Разовый	1103.0
146	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СОФРИНО	Абонемент	21.0
147	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТАРАСОВСКАЯ	Разовый	474.0
148	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕМХОЗ	Разовый	88.0
149	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТАЙНИНСКАЯ	Разовый	538.0
150	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЦИОЛКОВСКАЯ	Разовый	124.0
151	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА 3	Абонемент	2.0
152	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФРЯЗИНО ПАСС	Абонемент	13.0
153	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПРАВДА	Абонемент	15.0
154	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧКАЛОВСКАЯ	Разовый	655.0
155	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ХОТЬКОВО	Разовый	502.0
156	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РАДОНЕЖ	Разовый	50.0
157	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НОВОДАЧНАЯ	Разовый	209.0
158	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БЕСКУДНИКОВО	Абонемент	22.0
159	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НАРА	Разовый	1837.0
160	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НАРА	Абонемент	27.0
161	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЕРЕДЕЛКИНО	Разовый	626.0
162	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА РИЖ	Разовый	2859.0
163	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА РИЖ	Абонемент	27.0
164	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТАЛДОМ САВ	Разовый	142.0
165	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОКОШКИНО	Абонемент	20.0
166	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КРЕКШИНО	Абонемент	4.0
167	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВНУКОВО	Абонемент	10.0
168	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ГРАЖДАНСКАЯ	Разовый	445.0
