№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
104	Гастрономия на Зеленоград, Район Старое Крюково, у корп.843, в составе торговой зоны 4	Зеленоград  к. 843	ЗелАО	Старое Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01229	01.09.2011 0:00:00
105	Рыба на Зеленоград, Район Силино, У корп.1206 в составе торговой зоны № 5	Зеленоград  к. 1206	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01281	22.09.2011 0:00:00
106	Мороженое, соки, воды на Зеленоград, Район Силино, У корп.1206	Зеленоград  к. 1206	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	05.08.2011 0:00:00	05.08.2014 0:00:00	1000-01255	20.09.2011 0:00:00
107	Кафе на Зеленоград,  Район Матушкино, ПЗ Северная, 1-й Западный пр. в составе торговой зоны № 13, пл. 6 кв.м	Зеленоград, 1-й Западный пр.	ЗелАО	Матушкино	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00		
108	Хлеб в состве торговой зоны по ул. Железнодорожная	Зеленоград	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01249	20.09.2011 0:00:00
109	Гастрономия, Зеленоград, район Силино, у корп.1206 в составе тогровой зоны	Зеленоград  к. 1206	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	05.06.2012 0:00:00	05.06.2015 0:00:00	1000-001535	06.06.2012 0:00:00
110	Мороженое на Зеленоград, Район Старое Крюково, у корп.900, в составе торговой зоны 2, пл.6	Зеленоград  к. 900	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01198	15.09.2011 0:00:00
111	Овощи, фрукты на Зеленоград,  Район Матушкино, ПЗ Северная, 1-й Западный пр., у д.3 в составе торговой зоны № 12,  пл. 6 кв.м	Зеленоград, 1-й Западный пр. 3	ЗелАО	Матушкино	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00		
112	печать на Зеленоград, Район Старое Крюково,  у корп.900, пл.8,5	Зеленоград  к. 900	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	30.09.2011 0:00:00	30.09.2014 0:00:00	1000-01327	19.10.2011 0:00:00
113	Мороженое, соки, воды на Зеленоград, Район Матушкино, ПЗ Северная, 1-й Западный пр., у д.3	Зеленоград, 1-й Западный пр. 3	ЗелАО	Матушкино	Киоск	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-001580	24.08.2012 0:00:00
114	Молоко в составе торговой зоны по ул. Железнодорожная 6 кв. м.	Зеленоград	ЗелАО	Старое Крюково	Автоцистерна	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00		
115	печать на Зеленоград, Район Матушкино, у ост. ЗРОРПО пл.7	Зеленоград, 1-й Западный пр.	ЗелАО	Матушкино	Модульный объект	с 1 января по 31 декабря	15.09.2011 0:00:00	15.09.2014 0:00:00	1000-01241	20.09.2011 0:00:00
116	печать на Зеленоград, Район Матушкино,  1-й Западный проезд, у ост. "Березка", пл.6 кв.м	Зеленоград, 1-й Западный пр.	ЗелАО	Матушкино	Модульный объект	с 1 января по 31 декабря	28.12.2011 0:00:00	28.12.2014 0:00:00	1000-01483	30.12.2011 0:00:00
117	Рыба, Зеленоград, район Силино, у корп. 1131	Зеленоград  к. 1131	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	05.06.2012 0:00:00	05.06.2015 0:00:00	1000-001536	06.06.2012 0:00:00
118	ПЕРФЕКТ	дер.Толстопальцево, Центральная ул. 1	ЗАО	Внуково	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2015 0:00:00	800-000057	13.07.2012 0:00:00
119	Мороженое, соки, воды на Зеленоград, Район Крюково, ул.Новокрюковская, напротив ТД «Крюково» в составе торговой зоны № 25, пл.6 кв.м	Зеленоград, Новокрюковская ул. 9	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.06.2012 0:00:00	01.06.2015 0:00:00	1000-001548	06.06.2012 0:00:00
120	театраль-ные кассы на Зеленоград, Район Крюково, ул.Новокрюковская, напротив ТД "Крюково", в составе торговой зоны 25, пл.3	Зеленоград, Новокрюковская ул. 9	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01189	15.09.2011 0:00:00
121	Печать на Зеленоград, Район Крюково, ул.Новокрюковская, напротив ТД «Крюково» в составе торговой зоны № 25, пл.6 кв.м	Зеленоград, Новокрюковская ул. 9	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	29.05.2012 0:00:00	29.05.2015 0:00:00	1000-001527	01.06.2012 0:00:00
122	Кафе на Зеленоград, Район Крюково, ул.Новокрюковская, напротив ТД «Крюково» в составе торговой зоны № 25, пл.6 кв.м	Зеленоград, Новокрюковская ул. 9	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.06.2012 0:00:00	01.06.2015 0:00:00	1000-001528	05.06.2012 0:00:00
123	Печать на Зеленоград, Район Крюково, У корп.2030 в составе торговой зоны № 12, пл.6 кв.м	Зеленоград  к. 2030	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-001586	24.08.2012 0:00:00
124	Печать на Зеленоград, Район Крюково, у ТД "Крюково", пл.8,5	Зеленоград, Новокрюковская ул. 9	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01330	19.10.2011 0:00:00
125	Квас, район Крюково, Привокзальная площадь, у ТД «Крюково», объект № 7 пл. 3 кв.м	Зеленоград, Привокзальная пл.  с. 5	ЗелАО	Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001501	17.05.2012 0:00:00
126	Овощи-фрукты, Силино, между корп. 1136 и 1137	Зеленоград  к. 1136	ЗелАО	Силино	Лоток	с 1 апреля по 1 ноября	15.05.2012 0:00:00	01.11.2014 0:00:00		
127	Бахчевые культуры, Привокзальная пл., д. 1 (приобъектный у ЗТК)	Зеленоград, Привокзальная пл. 1	ЗелАО	Крюково	Бахчевой развал	с 1 августа по 1 ноября	01.08.2011 0:00:00	01.11.2014 0:00:00		
128	Овощи-фрукты, Привокзальная пл., д. 1 (приобъектный у ЗТК)	Зеленоград, Привокзальная пл. 1	ЗелАО	Крюково	Лоток	с 1 августа по 1 ноября	01.08.2011 0:00:00	01.11.2014 0:00:00		
129	Ели, сосны, лапник, Привокзальная пл., д. 1 (приобъектный у ЗТК)	Зеленоград, Привокзальная пл. 1	ЗелАО	Крюково	Елочный базар	с 20 декабря по 31 декабря	20.12.2011 0:00:00	31.12.2014 0:00:00		
130	печать на Зеленоград, Район Крюково, Привокзальная пл., пл.8,5	Зеленоград, Привокзальная пл.  с. 1	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01205	16.09.2011 0:00:00
131	Мороженое, соки, воды на Зеленоград, Район Крюково, У корп.2030 в составе торговой зоны № 18, пл.6 кв.м	Зеленоград  к. 2030	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01275	21.09.2011 0:00:00
132	Квас, район Крюково, ул.Заводская, у д.2, объект № 6 пл. 3 кв.м	Зеленоград, Заводская ул. 2	ЗелАО	Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001500	17.05.2012 0:00:00
133	печать на Зеленоград, Район Крюково, ул.Заводская, 1, пл.7,5	Зеленоград, Заводская ул. 1	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	26.09.2011 0:00:00	26.09.2014 0:00:00	1000-01309	29.09.2011 0:00:00
134	Бахчевой развал у корп.1136	Зеленоград  к. 1136	ЗелАО	Силино	Бахчевой развал	с 1 августа по 1 ноября	09.06.2012 0:00:00	09.06.2015 0:00:00	1000-001566	14.06.2012 0:00:00
135	Печать на Зеленоград, Район Старое Крюково, Крюковская пл.	Зеленоград, Крюковская пл.	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01203	16.09.2011 0:00:00
136	Квас, район Старое Крюково, Крюковская площадь, со стороны старого подземного перехода, объект № 3	Зеленоград, Крюковская пл.	ЗелАО	Старое Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001495	17.05.2012 0:00:00
137	Бахчевой развал, у корп.1006, в торце магазина "Билла"	Зеленоград  к. 1006	ЗелАО	Силино	Бахчевой развал	с 1 августа по 1 ноября	09.06.2012 0:00:00	09.06.2015 0:00:00	1000-001562	14.06.2012 0:00:00
