№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
982	Сезонное кафе	Сущёвская ул. 21	ЦАО	Тверской	60.0	Куклы Пистолеты	ДА-Консалтинг
983	Сезонное кафе	ул. Чечулина 26	ВАО	Ивановское	50.0	Гранат	РиИМ
984	Сезонное кафе	Сущёвская ул. 21	ЦАО	Тверской	40.0	Куклы Пистолеты	ДА-Консалтинг
985	Сезонное кафе	Новослободская ул. 20	ЦАО	Тверской	20.0	ЯКИТОРИЯ	ТК-ВИЗАВИ
986	Сезонное кафе	Новослободская ул. 18	ЦАО	Тверской	80.0	Бискотти	б"Банкет"
987	Сезонное кафе	Большая Семёновская ул. 27 к. 1	ВАО	Соколиная гора	35.0	Шоколадница	ГАЛЕРЕЯ АЛЕКС
988	Сезонное кафе	Ленинградский просп. 24	САО	Беговой	30.0	МОСКАФЕ	ПРОМТЕХГРУПП
989	Сезонное кафе	3-я ул. Ямского Поля 24	САО	Беговой	50.0	ДЯ ДЯ ВЭЙ	ВЭЙ КОНСОРЦИУМ РАЗВИТИЕ
990	Сезонное кафе	Олимпийский просп. 16 с. 2	ЦАО	Мещанский	50.0	Аэлита	АЭЛИТА
991	Сезонное кафе	Новослободская ул. 24 с. 1	ЦАО	Тверской	30.0	УЗБЕК	Гриль Бар
992	Сезонное кафе	Щербаковская ул. 53 к. 1	ВАО	Соколиная гора	77.5	ГУРМАН	Гурман
993	Сезонное кафе	ул. Щепкина 42 с. 1	ЦАО	Мещанский	250.0	Жанро	ЖАНРО
994	Сезонное кафе	Суворовская пл. 2 с. 1	ЦАО	Мещанский	216.0	ТЕЗИС-95	ТЕЗИС-95
995	Сезонное кафе	Семёновская пл. 7 к. 17	ВАО	Соколиная гора	85.0	Пузовъ	ЕЕда
996	Сезонное кафе	Семёновская пл. 7 к. 17	ВАО	Соколиная гора	32.0	Кружка	Сема
997	Сезонное кафе	ул. Гиляровского 39 с. 3	ЦАО	Мещанский	70.0	Андерсон	Хани энд Пай
998	Сезонное кафе	Семёновская пл. 2	ВАО	Соколиная гора	95.0	Пронто	ИНТЕГРАЛ
999	Сезонное кафе	Семёновская пл. 2	ВАО	Соколиная гора	90.0	Кафе "Урюк" Хивинская чайхона	Диалог
1000	Сезонное кафе	Ленинградский просп. 31А с. 1	САО	Беговой	75.0	АЛЛЕГРО	Гостиница МОНАРХ-ЦЕНТР
1001	Сезонное кафе	Новослободская ул. 34/2	ЦАО	Тверской	30.0	Му-Му	ФАСТЛЕНД
1002	Сезонное кафе	Семёновская пл. 2	ВАО	Соколиная гора	45.0	Летние кафе - Соколиная гора	СОКОЛИНАЯ ГОРА
1003	Сезонное кафе	Новослободская ул. 45 с. 1	ЦАО	Тверской	20.0	Крошка - Картошка	ФЛОРЕСТЕНА
1004	Сезонное кафе	просп. Мира 51 с. 1	ЦАО	Мещанский	51.0	ТРИ ЭМ	ТРИ ЭМ
1005	Сезонное кафе	ул. Гастелло 37	ВАО	Сокольники	40.0	ЛУНА	ЛУНА
1006	Сезонное кафе	Малая Семёновская ул. 12	ВАО	Соколиная гора	100.0	Летние кафе	Летние кафе  "САН ДАН"
1007	Сезонное кафе	Верхняя Красносельская ул. 8 к. 3	ЦАО	Красносельский	499.5	Страдивари	АРТ МАРИНА
1008	Сезонное кафе	Новослободская ул. 36/1 с. 1	ЦАО	Тверской	30.0	ШОКОЛАДНИЦА	Галерея - АЛЕКС
1009	Сезонное кафе	Новослободская ул. 36/1 с. 1	ЦАО	Тверской	30.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
1010	Сезонное кафе	Октябрьская ул. 2	СВАО	Марьина роща	34.0	В темноте	ЦЕНТР ПОМОЩИ СЛОБОВИДЯЩИМ И СЛЕПЫМ
1011	Сезонное кафе	Олимпийский просп. 18/1	ЦАО	Мещанский	175.0	ИНТУР-РЕНЕССАНС (при гостинице "Олимпик Пента Ренессанс")	ИНТУР-РЕНЕССАНС
1012	Сезонное кафе	ул. Маршала Тухачевского 36	СЗАО	Хорошево-Мневники	40.0	ТРЮМ	ДРАККАР
1013	Сезонное кафе	Живописная ул. 14	СЗАО	Хорошево-Мневники	25.0	Старое место	ВЕЧЕР-ЕЭС
1014	Сезонное кафе	Верхняя Красносельская ул. 7 с. 2	ЦАО	Красносельский	714.7	Ромашка	Аркада
1015	Сезонное кафе	просп. Мира 58	ЦАО	Мещанский	60.0	Эй -Би -Стар	Ресторан "Ти-бон"
1016	Сезонное кафе	Октябрьская ул. 5	СВАО	Марьина роща	40.0	ЭКЛЕ	ТОРГОВЫЙ ДОМ "АГАТИС"
1017	Сезонное кафе	Ленинградский просп. 31 с. 9	САО	Беговой	250.0	ПАРИЗЬЕН	АМИ-СТО
1018	Сезонное кафе	Новослободская ул. 46	ЦАО	Тверской	40.0	ООО "ТАЛЛАС-М"	ТАЛЛАС-М
1019	Сезонное кафе	Большая Переяславская ул. 46 с. 1	ЦАО	Мещанский	33.0	АКВИЛОН-2	АКВИЛОН -2
1020	Сезонное кафе	Малая Сухаревская пл. 8	ЦАО	Мещанский	70.0	ИНКОНТРО	ИНКОНТРО
1021	Сезонное кафе	Садовая-Самотёчная ул. 20 с. 1	ЦАО	Тверской	30.0	ДЕ ВИЛЛЬ	ПОСТМЕДИА-2
1022	Сезонное кафе	Садовая-Самотёчная ул. 18 с. 1	ЦАО	Тверской	60.0	ДЕЛЬТА-2001 ТН"	ДЕЛЬТА-2001 ТН
1023	Сезонное кафе	Садовая-Самотёчная ул. 16 с. 2	ЦАО	Тверской	60.0	СЫР"	ТЕРРА-ТН
1024	Сезонное кафе	Малая Бронная ул. 24 с. 1	ЦАО	Пресненский	50.0	МИЖЕН	МИЖЕН
1025	Сезонное кафе	Столешников пер. 7 с. 2	ЦАО	Тверской	30.0	Шайк Бар	Асти
1026	Сезонное кафе	ул. Покровка 48 с. 1	ЦАО	Басманный	150.0	-	ИНКА
1027	Сезонное кафе	Столешников пер. 11	ЦАО	Тверской	40.0	Сестры Гримм	Фактура
1028	Сезонное кафе	ул. Пресненский Вал 1	ЦАО	Пресненский	50.0	-	АВАНТАЖ-Т
1029	Сезонное кафе	Тверская ул. 17	ЦАО	Тверской	30.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
1030	Сезонное кафе	Большой Патриарший пер. 7 С. 1	ЦАО	Пресненский	50.0	РЕСТОРАННЫЙ СИНДИКАТ	РЕСТОРАННЫЙ СИНДИКАТ
1031	Сезонное кафе	Тверская ул. 17	ЦАО	Тверской	40.0	НОЧНОЙ ПОЛЕТ"	СЕВЕР-В
1032	Сезонное кафе	ул. Покровка 47	ЦАО	Басманный	150.0	ЦЕНТРАЛЬНЫЙ ДОМ ПРЕДПРИНИМАТЕЛЯ	Некоммерческое партнерство "Центральный дом предпринимателя"
1033	Сезонное кафе	Неглинная ул. 17 с. 1	ЦАО	Тверской	40.0	БУФЕТ	ГОСТИНИЦА "БУДАПЕШТ"
1034	Сезонное кафе	Неглинная ул. 14 с. 1А	ЦАО	Мещанский	295.0	ЕВРОМОРПРОДУКТЫ	Евроморпродукты
1035	Сезонное кафе	ул. Пресненский Вал 1	ЦАО	Пресненский	50.0	Гости	ЕВА
1036	Сезонное кафе	Столярный пер. 7 с. 1	ЦАО	Пресненский	50.0	БАНИ НА ПРЕСНЕ"	Краснопресненские бани
1037	Сезонное кафе	Филёвский бульв. 10	ЗАО	Филевский парк	100.0	"Торгово-Развлекательный Центр "УНИВЕРСАМ ФИЛИ"	ТРЦ "УНИВЕРСАМ ФИЛИ"
1038	Сезонное кафе	ул. Петровские Линии	ЦАО	Тверской	20.0	Барашка	ПАРНАС ТРЕЙД
1039	Сезонное кафе	Тверская ул. 14	ЦАО	Тверской	40.0	ЭТАЖ	РИСОНТ
1040	Сезонное кафе	Зоологическая ул. 13 с. 1	ЦАО	Пресненский	30.0	ЦЕХ"	БЕНЕДИКТ
1041	Сезонное кафе	Садовая-Черногрязская ул. 22 с. 1	ЦАО	Басманный	120.0	АЭРО	ФРЭНЧ
1042	Сезонное кафе	Тверская ул. 17	ЦАО	Тверской	40.0	АРМЕНИЯ	ПОКОМАК
1043	Сезонное кафе	ул. Земляной Вал 1/4 с. 1	ЦАО	Басманный	50.0	-	ИНКА
1044	Сезонное кафе	Большая Бронная ул. 29	ЦАО	Тверской	100.0	МАКДОНАЛЬДС	МОСКВА- МАКДОНАЛДС
1045	Сезонное кафе	ул. Большая Дмитровка 17	ЦАО	Тверской	30.0	РЕСТОРАН "ОДОН"	ОПЕРА
1046	Сезонное кафе	ул. 1905 Года 11 с. 1	ЦАО	Пресненский	50.0	Колбасы-20	КОЛБАСЫ-20
1047	Сезонное кафе	Страстной бульв. 4 с. 5	ЦАО	Тверской	30.0	БАР В КОЗИЦКОМ"	БАР В КОЗИЦКОМ
1048	Сезонное кафе	Старая Басманная ул. 9 к. 1	ЦАО	Басманный	50.0	Трикстер	Басманная
1049	Сезонное кафе	Страстной бульв. 4 с. 3	ЦАО	Тверской	40.0	ООО " ПРИНТ ВЕНЕЦИЯ"	ПРИНТ ВЕНЕЦИЯ
1050	Сезонное кафе	ул. 1905 Года 4	ЦАО	Пресненский	40.0	Штирлиц	Пивной Дом-К
1051	Сезонное кафе	ул. Большая Дмитровка 32 с. 1	ЦАО	Тверской	40.0	ARTE FAQ	ЭФ-ЭЙ-КЬЮ КЛАБ
1052	Сезонное кафе	Большая Декабрьская ул. 3 с. 1	ЦАО	Пресненский	60.0	Добрыня	Ресторан Добрыня
1053	Сезонное кафе	Страстной бульв. 4 с. 3	ЦАО	Тверской	30.0	Салют-Н	Салют-Н
1054	Сезонное кафе	Страстной бульв. 4 с. 1	ЦАО	Тверской	10.0	АндерСон	Хани энд Пай
1055	Сезонное кафе	ул. Большая Лубянка 24/15 с. 1	ЦАО	Красносельский	242.0	Лига Пап	БОРАТА
1056	Сезонное кафе	Страстной бульв. 4 с. 1	ЦАО	Тверской	40.0	кафетерий	САНДЕРС 2000
1057	Сезонное кафе	ул. Петровка 21 с. 2	ЦАО	Тверской	40.0	Фроми	Фроми
1058	Сезонное кафе	Малый Палашёвский пер. 7	ЦАО	Тверской	100.0	СКАНДИНАВИЯ"	ЛОРЕСТ
1059	Сезонное кафе	Страстной бульв. 6 с. 1	ЦАО	Тверской	30.0	Кофейня -Территория кофе	Кофе Интернешнел Групп
1060	Сезонное кафе	Страстной бульв. 6 с. 1	ЦАО	Тверской	30.0	ШОКОЛАДНИЦА	ГАЛЕРЕЯ АЛЕКС
1061	Сезонное кафе	Тверская ул. 18А	ЦАО	Тверской	30.0	КАФЕ СВ	Центр
1062	Сезонное кафе	Старая Басманная ул. 15А с. 15	ЦАО	Басманный	150.0	Голицын	АВЕСТА-ГРАТИС
1063	Сезонное кафе	Петровский пер. 3 с. 1	ЦАО	Тверской	60.0	ТЕАТР КОРША"	ЕВРОАЗИЯ-Т
1064	Сезонное кафе	Страстной бульв. 6 с. 2	ЦАО	Тверской	30.0	ПОЗИТИВ	ПОЗИТИВ
1065	Сезонное кафе	ул. Большая Лубянка 26/17 с. 1	ЦАО	Красносельский	269.0	Дефакто	Дефакто
1066	Сезонное кафе	Тверская ул. 18А	ЦАО	Тверской	30.0	КАФЕ СВ	Центр
1067	Сезонное кафе	ул. Петровка 26 с. 9	ЦАО	Тверской	60.0	Фабрика	Фабрика
1068	Сезонное кафе	ул. Петровка 23/10 с. 5	ЦАО	Тверской	60.0	КИТЕЖ	ДЖЕНЕЗИС
1069	Сезонное кафе	Трёхпрудный пер. 15	ЦАО	Пресненский	50.0	ШЕНОНСО"	АЛЬЯНС АЛЬТ
1070	Сезонное кафе	Пушкинская пл. 2	ЦАО	Тверской	500.0	Макао	Риколета
1071	Сезонное кафе	Большая Садовая ул. 6	ЦАО	Пресненский	50.0	Элком Трейд	ЭЛКОМТРЕЙД
1072	Сезонное кафе	Малый Путинковский пер. 1/2 с. 1	ЦАО	Тверской	30.0	КАФЕ "ПУБЛИКА"	АРС-ИНЖЕНЕРИНГ
1073	Сезонное кафе	Рождественский бульв. 10/7 с. 1	ЦАО	Мещанский	54.0	РУССКАЯ КУХНЯ Р	РУССКАЯ КУХНЯ Р
1074	Сезонное кафе	Страстной бульв. 8А	ЦАО	Тверской	60.0	Свет Звезд	Старлайт 5
1075	Сезонное кафе	ул. Петровка 23/10 с. 5	ЦАО	Тверской	30.0	Узбечка	СТРОЙАРСЕНАЛ
1076	Сезонное кафе	Большая Садовая ул. 6	ЦАО	Пресненский	50.0	Элком Трейд	ЭЛКОМТРЕЙД
1077	Сезонное кафе	Тверская ул. 23 с. 1	ЦАО	Тверской	40.0	ФИЛИМПОНОВА И ЯНКЕЛЬ	ЭРИОЛА
1078	Сезонное кафе	ул. Малая Дмитровка 1 с. 1	ЦАО	Тверской	30.0	Радуга	РАДУГА
1079	Сезонное кафе	Тверская ул. 23 с. 1	ЦАО	Тверской	60.0	ФИЛИМПОНОВА И ЯНКЕЛЬ	ЭРИОЛА
1080	Сезонное кафе	Тверская ул. 20 с. 1	ЦАО	Тверской	30.0	ОкиДоки	ПромТоргМаш
1081	Сезонное кафе	Страстной бульв. 10 с. 1	ЦАО	Тверской	30.0	КОФЕ ХАУЗ	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
1082	Сезонное кафе	Мясницкая ул. 37 с. 3	ЦАО	Красносельский	256.5	Дед Пихто	СТ-ТОР
1083	Сезонное кафе	Сретенский бульв. 3	ЦАО	Красносельский	401.0	САНДАЛ	СТАРТ СК
1084	Сезонное кафе	Большой Козловский пер. 4 с. 4	ЦАО	Басманный	50.0	АЛЬПИЙСКАЯ ТЕРРАСА	ПАНПАСИФИК ЭНТЕРПРАЙЗИЗ
1085	Сезонное кафе	ул. Малая Дмитровка 3	ЦАО	Тверской	20.0	Фонтан	ГОТЭК
1086	Сезонное кафе	Тверская ул. 20 с. 1	ЦАО	Тверской	30.0	МИ ПИАЧЕ"	ИНТЕР СТАЙЛ
1087	Сезонное кафе	Тверская ул. 22А с. 1	ЦАО	Тверской	40.0	Ладомир	ЛАДОМИР-Плюс
1088	Сезонное кафе	ул. 1905 Года 10А с. 1	ЦАО	Пресненский	100.0	НАШ ДВОР"	ТК АВИСЕНТ
1089	Сезонное кафе	ул. Малая Дмитровка 3	ЦАО	Тверской	20.0	КОФЕ ХАУС	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
